央视频道,#genre#
山东卫视,http://39.135.133.175:80/wh7f454c46tw4005384420_449593824/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
四川卫视,http://39.135.133.173:80/wh7f454c46tw273377784_962587448/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
东南卫视,http://39.135.133.171:80/wh7f454c46tw356142809_-285915432/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
天津卫视,http://39.135.133.179:80/wh7f454c46tw393590316_100853099/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
吉林卫视,http://39.135.133.177:80/wh7f454c46tw441651945_852404140/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
安徽卫视,http://39.135.133.166:80/wh7f454c46tw488439179_514318597/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
河北卫视,http://39.135.133.158:80/wh7f454c46tw548037777_-1473287242/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视,http://39.135.133.167:80/wh7f454c46tw590465421_-593689218/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
湖北卫视,http://39.135.133.160:80/wh7f454c46tw623593219_-932075545/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
海南卫视,http://39.135.133.161:80/wh7f454c46tw668898891_4908262/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
贵州卫视,http://39.135.133.173:80/wh7f454c46tw732493079_-251879196/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
深圳卫视,http://39.135.133.159:80/wh7f454c46tw786118487_-1668443235/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
重庆卫视,http://39.135.133.179:80/wh7f454c46tw822979033_2001883773/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
江西卫视,http://39.135.133.181:80/wh7f454c46tw3465437182_1112828630/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
江苏卫视,http://39.135.133.178:80/wh7f454c46tw1687039628_-882836459/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
