央视频道,#genre#
CCTV8,http://lovegfs.top:8000/udp/239.120.2.40:5141
CCTV9,http://lovegfs.top:8000/udp/239.120.2.91:5141
CCTV10,http://lovegfs.top:8000/udp/239.120.2.92:5141
CCTV11,http://lovegfs.top:8000/udp/239.120.2.100:5141
CCTV12,http://lovegfs.top:8000/udp/239.120.2.101:5141
CCTV13,http://lovegfs.top:8000/udp/239.120.2.102:5141
CCTV14,http://lovegfs.top:8000/udp/239.120.2.103:5141
CCTV15,http://lovegfs.top:8000/udp/239.120.2.104:5141
CCTV16,http://lovegfs.top:8000/udp/239.120.2.105:5141
CCTV17,http://lovegfs.top:8000/udp/239.120.2.106:5141

CCTV1,http://lovegfs.top:8000/udp/239.120.1.120:8778
CCTV2,http://lovegfs.top:8000/udp/239.120.1.223:9484
CCTV3,http://lovegfs.top:8000/udp/239.120.1.88:9420
CCTV4,http://lovegfs.top:8000/udp/239.120.1.159:9012
CCTV5,http://lovegfs.top:8000/udp/239.120.1.46:8248
CCTV5+,http://lovegfs.top:8000/udp/239.120.1.245:9428
CCTV6,http://lovegfs.top:8000/udp/239.120.1.49:8252
CCTV7,http://lovegfs.top:8000/udp/239.120.1.224:9490
CCTV8,http://lovegfs.top:8000/udp/239.120.1.50:8308
CCTV9,http://lovegfs.top:8000/udp/239.120.1.227:9496
CCTV10,http://lovegfs.top:8000/udp/239.120.1.250:9448
CCTV11,http://lovegfs.top:8000/udp/239.120.1.163:9036
CCTV12,http://lovegfs.top:8000/udp/239.120.1.230:9502
CCTV13,http://lovegfs.top:8000/udp/239.120.1.165:9048
CCTV14,http://lovegfs.top:8000/udp/239.120.1.193:8284
CCTV15,http://lovegfs.top:8000/udp/239.120.1.167:9060

CCTV1,http://113.128.128.68:8688/udp/239.21.1.120:5002
CCTV2,http://113.128.128.68:8688/udp/239.21.1.151:5002
CCTV3,http://113.128.128.68:8688/udp/239.21.2.45:5002
CCTV4,http://113.128.128.68:8688/udp/239.21.1.154:5002
CCTV5,http://113.128.128.68:8688/udp/239.21.2.46:5002
CCTV5+,http://113.128.128.68:8688/udp/239.21.1.142:5002
CCTV6,http://113.128.128.68:8688/udp/239.21.2.47:5002
CCTV7,http://113.128.128.68:8688/udp/239.21.1.152:5002
CCTV8,http://113.128.128.68:8688/udp/239.21.2.48:5002
CCTV9,http://113.128.128.68:8688/udp/239.21.1.153:5002
CCTV10,http://113.128.128.68:8688/udp/239.21.1.155:5002
CCTV11,http://113.128.128.68:8688/udp/239.21.2.2:5002
CCTV12,http://113.128.128.68:8688/udp/239.21.1.156:5002
CCTV13,http://113.128.128.68:8688/udp/239.21.2.3:5002
CCTV14,http://113.128.128.68:8688/udp/239.21.1.157:5002
CCTV15,http://113.128.128.68:8688/udp/239.21.2.4:5002
CCTV17,http://113.128.128.68:8688/udp/239.21.1.186:5002

CCTV1,http://114.252.227.154:8000/rtp/239.3.1.129:8008
CCTV2,http://114.252.227.154:8000/rtp/239.3.1.60:8084
CCTV3,http://114.252.227.154:8000/rtp/239.3.1.172:8001
CCTV4,http://114.252.227.154:8000/rtp/239.3.1.105:8092
CCTV5,http://114.252.227.154:8000/rtp/239.3.1.173:8001
CCTV5+,http://114.252.227.154:8000/rtp/239.3.1.130:8004
CCTV6,http://114.252.227.154:8000/rtp/239.3.1.174:8001
CCTV7,http://114.252.227.154:8000/rtp/239.3.1.61:8104
CCTV8,http://114.252.227.154:8000/rtp/239.3.1.175:8001
CCTV9,http://114.252.227.154:8000/rtp/239.3.1.62:8112
CCTV10,http://114.252.227.154:8000/rtp/239.3.1.63:8116
CCTV11,http://114.252.227.154:8000/rtp/239.3.1.152:8120
CCTV12,http://114.252.227.154:8000/rtp/239.3.1.64:8124
CCTV13,http://114.252.227.154:8000/rtp/239.3.1.124:8128
CCTV14,http://114.252.227.154:8000/rtp/239.3.1.65:8132
CCTV15,http://114.252.227.154:8000/rtp/239.3.1.153:8136
CCTV16,http://114.252.227.154:8000/rtp/239.3.1.184:8001
CCTV17,http://114.252.227.154:8000/rtp/239.3.1.151:8144

CCTV1,http://112.254.144.66:1025/udp/239.253.254.77:8000
CCTV2,http://112.254.144.66:1025/udp/239.253.254.232:8000
CCTV3,http://112.254.144.66:1025/udp/239.253.254.191:8000
CCTV4,http://112.254.144.66:1025/udp/239.253.254.111:8000
CCTV4欧洲,http://112.254.144.66:1025/udp/239.253.254.186:8000
CCTV4美洲,http://112.254.144.66:1025/udp/239.253.254.187:8000
CCTV5,http://112.254.144.66:1025/udp/239.253.254.192:8000
CCTV5+,http://112.254.144.66:1025/udp/239.253.254.80:8000
CCTV6,http://112.254.144.66:1025/udp/239.253.254.193:8000
CCTV7,http://112.254.144.66:1025/udp/239.253.254.233:8000
CCTV8,http://112.254.144.66:1025/udp/239.253.254.194:8000
CCTV9,http://112.254.144.66:1025/udp/239.253.254.79:8000
CCTV10,http://112.254.144.66:1025/udp/239.253.254.234:8000
CCTV11,http://112.254.144.66:1025/udp/239.253.254.169:8000
CCTV12,http://112.254.144.66:1025/udp/239.253.254.235:8000
CCTV13,http://112.254.144.66:1025/udp/239.253.254.175:8000
CCTV14,http://112.254.144.66:1025/udp/239.253.254.236:8000
CCTV15,http://112.254.144.66:1025/udp/239.253.254.170:8000
CCTV17,http://112.254.144.66:1025/udp/239.253.254.168:8000

CCTV1,http://118.116.82.30:4022/udp/239.93.0.184:5140
CCTV2,http://118.116.82.30:4022/udp/239.93.1.23:6000
CCTV2,http://118.116.82.30:4022/udp/239.93.0.59:5140
CCTV3,http://118.116.82.30:4022/udp/239.93.1.11:2223
CCTV3,http://118.116.82.30:4022/udp/239.93.0.109:5140
CCTV4,http://118.116.82.30:4022/udp/239.93.0.60:5140
CCTV4,http://118.116.82.30:4022/udp/239.93.1.105:5140
CCTV5,http://118.116.82.30:4022/udp/239.93.1.12:2224
CCTV5,http://118.116.82.30:4022/udp/239.93.42.37:5140
CCTV5+,http://118.116.82.30:4022/udp/239.93.1.36:8004
CCTV6,http://118.116.82.30:4022/udp/239.93.1.13:2226
CCTV7,http://118.116.82.30:4022/udp/239.93.1.67:5140
CCTV7,http://118.116.82.30:4022/udp/239.93.0.61:5140
CCTV8,http://118.116.82.30:4022/udp/239.93.1.14:2225
CCTV8,http://118.116.82.30:4022/udp/239.93.42.39:5140
CCTV9,http://118.116.82.30:4022/udp/239.93.1.24:5140
CCTV10,http://118.116.82.30:4022/udp/239.93.1.28:5140
CCTV10,http://118.116.82.30:4022/udp/239.93.0.63:5140
CCTV12,http://118.116.82.30:4022/udp/239.93.1.30:8124
CCTV12,http://118.116.82.30:4022/udp/239.93.0.65:5140
CCTV13,http://118.116.82.30:4022/udp/239.93.0.66:5140
CCTV14,http://118.116.82.30:4022/udp/239.93.1.29:6000
CCTV17,http://118.116.82.30:4022/udp/239.93.0.92:5140

CCTV1,http://116.179.154.86:8003/rtp/226.0.2.153:9136
CCTV2,http://116.179.154.86:8003/rtp/226.0.2.154:9144
CCTV3,http://116.179.154.86:8003/rtp/226.0.2.208:9576
CCTV4,http://116.179.154.86:8003/rtp/226.0.2.156:9160
CCTV5,http://116.179.154.86:8003/rtp/226.0.2.209:9584
CCTV5+,http://116.179.154.86:8003/rtp/226.0.2.168:9256
CCTV6,http://116.179.154.86:8003/rtp/226.0.2.210:9592
CCTV7,http://116.179.154.86:8003/rtp/226.0.2.159:9184
CCTV8,http://116.179.154.86:8003/rtp/226.0.2.211:9600
CCTV9,http://116.179.154.86:8003/rtp/226.0.2.161:9200
CCTV10,http://116.179.154.86:8003/rtp/226.0.2.162:9208
CCTV12,http://116.179.154.86:8003/rtp/226.0.2.164:9224
CCTV13,http://116.179.154.86:8003/rtp/226.0.2.165:9232
CCTV14,http://116.179.154.86:8003/rtp/226.0.2.166:9240
CCTV16,http://116.179.154.86:8003/rtp/226.0.2.169:9264
CCTV17,http://116.179.154.86:8003/rtp/226.0.2.170:9272


天元围棋频道,#genre#
天元围棋,http://lovegfs.top:8000/udp/239.120.2.57:5141
天元围棋,http://lovegfs.top:8000/udp/239.120.2.227:5141
天元围棋,http://lovegfs.top:8000/udp/239.120.1.59:8320
天元围棋,http://118.116.82.30:4022/udp/239.93.42.55:5140

江西频道,#genre#
江西卫视,http://114.252.227.154:8000/rtp/239.3.1.123:8164
江西卫视,http://lovegfs.top:8000/udp/239.120.2.194:5141
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
江西卫视,http://113.251.226.247:7788/udp/235.254.198.29:1392
江西都市频道,http://220.176.218.107:8888/udp/239.252.220.109:5140
江西都市频道,http://gzly.hkychina.com:6001/rtp/239.252.220.109:5140
江西都市频道,http://58.17.48.228:808/hls/18/index.m3u8
江西经济生活频道,http://gzly.hkychina.com:6001/udp/239.252.219.173:5140
江西经济生活频道,http://220.176.218.107:8888/rtp/239.252.219.173:5140
江西影视旅游,http://gzly.hkychina.com:6001/udp/239.252.220.101:5140
江西影视旅游,http://220.176.218.107:8888/rtp/239.252.220.101:5140
江西公共农业,http://gzly.hkychina.com:6001/udp/239.252.220.102:5140
江西公共农业,http://220.176.218.107:8888/rtp/239.252.220.102:5140
江西少儿频道,http://gzly.hkychina.com:6001/udp/239.252.220.111:5140
江西少儿频道,http://gzly.hkychina.com:6001/udp/239.252.219.113:5140
江西少儿频道,http://220.176.218.107:8888/rtp/239.252.220.111:5140
江西新闻频道,http://gzly.hkychina.com:6001/udp/239.252.220.100:5140
江西新闻频道,http://220.176.218.107:8888/rtp/239.252.220.100:5140
陶瓷,http://220.176.218.107:8888/rtp/239.252.219.125:5140
江西教育频道,http://gzly.hkychina.com:6001/udp/239.252.219.115:5140
江西教育频道,http://220.176.218.107:8888/rtp/239.252.219.115:5140

香港频道,#genre#
凤凰中文,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8?key=eyJ0b2tlbiI6ImtJYW9tcXdpUjRqWGZZRVZ6dHlCRUFCMmlCZ1J3Tk9sIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiZjM6MjA6MDA6ZTc6Yzc6NzciLCJhbmRyb2lkaWQiOiIzOGQxNzI3ZDBjNDFlZTRmIn0=
凤凰香港,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.m3u8?key=eyJ0b2tlbiI6ImtJYW9tcXdpUjRqWGZZRVZ6dHlCRUFCMmlCZ1J3Tk9sIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiZjM6MjA6MDA6ZTc6Yzc6NzciLCJhbmRyb2lkaWQiOiIzOGQxNzI3ZDBjNDFlZTRmIn0=
凤凰资讯,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8?key=eyJ0b2tlbiI6IkhsVDdIYWZBVkNtc2g3b0lKMkUxMldsbW9NTzRZa3pTIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiZjM6MjA6MDA6ZTc6Yzc6NzciLCJhbmRyb2lkaWQiOiIzOGQxNzI3ZDBjNDFlZTRmIiwiMCI6IiJ9

财经频道,#genre#
东方财经,http://lovegfs.top:8000/udp/239.120.1.55:8304
东方财经,http://lovegfs.top:8000/udp/239.120.2.73:5141
东方财经,http://lovegfs.top:8000/udp/239.120.2.77:5141

